id,level,word,meaning_en,meaning_tr,meaning_es,full_entry,article,pos,plural,forms,examples,page
b1_0051,B1,"achten, achtet, achtete,","pay attention, pay attention, pay attention","dikkat et, dikkat et, dikkat et","presta atención, presta atención, presta atención","achten, achtet, achtete,",,word,,hat geachtet (auf),"Achten Sie bitte darauf, dass Sie || abschließen, wenn Sie gehen.",16
b1_0052,B1,Achtung!,Danger!,Tehlike!,¡Peligro!,Achtung!,,noun,,,"Achtung, hier endet die Straße!",17
b1_0053,B1,"die Adresse, -n","the address, -n","adres, -n","la dirección, -n","die Adresse, -n",die,noun,-n,,Hast du schon meine neue Adresse?,17
b1_0054,B1,ähnlich,similar,benzer,similar,ähnlich 1.,,adjective,,,Emilia ist in einer ganz ähnlichen Situation wie ich. || Oleg sieht seinem Bruder sehr ähnlich.,17
b1_0055,B1,die Ahnung,the hunch,önsezi,la corazonada,die Ahnung,die,noun,,,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",17
b1_0056,B1,"die Aktion, -en","the action, -en","eylem, -tr","la acción, -es","die Aktion, -en",die,noun,-en,,Die Stadt sollte eine Aktion für Familien planen.,17
b1_0057,B1,aktiv,active,aktif,activo,aktiv,,word,,,Ich bin sehr aktiv und mache viel Sport.,17
b1_0058,B1,"die Aktivität, -en","the activity, -en","etkinlik, -tr","la actividad, -es","die Aktivität, -en",die,noun,-en,,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktiv- itäten.,17
b1_0059,B1,aktuell,current,akım,actual,aktuell,,word,,,Umweltschutz ist ein aktuelles Thema.,17
b1_0060,B1,"akzeptieren, akzeptiert,","accept, accepted","kabul etmek, kabul etmek","aceptar, aceptado","akzeptieren, akzeptiert,",,word,,,Ich kann diese Bedingungen nicht,17
b1_0061,B1,"akzeptierte, hat akzeptiert","accepted, has accepted","kabul edildi, kabul edildi","aceptado, ha aceptado","akzeptierte, hat akzeptiert",,word,,,akzeptieren.,17
b1_0062,B1,"der Alarm, -e","the alarm, -e","alarm, -e","la alarma, -e","der Alarm, -e",der,noun,-e,,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,17
b1_0063,B1,der Alkohol,the alcohol,alkol,el alcohol,der Alkohol 1.,der,noun,,,"Du musst die Wunde mit Alkohol reinigen. || Nein, danke! || Ich trinke keinen Alkohol.",17
b1_0064,B1,all-,all-,Tümü-,todo-,all- 1.,,word,,,"Sind alle Kinder da? || Sonst noch (et)was? || – Nein, danke. || Das ist alles. || Alles Gute!",17
b1_0065,B1,allein,alone,yalnız,solo,allein 1.,,word,,,"Ich gehe nicht gern allein spazieren. || Soll ich Ihnen helfen? || – Danke, ich schaffe es schon allein. || Es war sehr teuer. || Allein das Essen hat schon über 50 Euro gekostet.",17
b1_0066,B1,aller-,all-,Tümü-,todo-,aller- 1.,,word,,,"Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. || Dann wirst du schnell wieder gesund. || Das ist das Allerschönste, was ich je gesehen habe.",17
b1_0067,B1,allerdings,however,Yine de,sin embargo,allerdings,,word,,,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",17
b1_0068,B1,allgemein,generally,genel olarak,generalmente,allgemein 1.,,word,,,"Wir haben nur über allgemeine Probleme gesprochen. || Es ist allgemein bekannt, dass man hier gut essen kann. || Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.",17
b1_0069,B1,der Alltag,the everyday,gündelik,lo cotidiano,der Alltag,der,noun,,,"Das ist mein Alltag: putzen, waschen, kochen.",17
b1_0070,B1,alltäglich1.,everyday1.,her gün1.,todos los días1.,alltäglich1.,,word,,,Das alltägliche Leben ist manchmal langweilig. || Der Roman erzählt eine ganz alltägliche Geschichte.,17
b1_0071,B1,"das Alphabet, -e","das Alphabet, -e","alfabe, -e","el alfabeto, -e","das Alphabet, -e",das,noun,-e,,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,17
b1_0072,B1,als,as,gibi,como,als 1.,,conjunction,,,"Als mein Mann kam, war die Party schon zu Ende. || Sie können sich sowohl persönlich als auch im Internet anmelden. || Meine Schwester ist älter als ich. || Es ist später, als ich dachte.",17
b1_0073,B1,als ob,as if,güya,como si,als ob,,conjunction,,,"Er tut so, als ob wir nie darüber gesprochen hätten.",17
b1_0074,B1,also,so,Bu yüzden,entonces,also 1.,,word,,,"Also, die Sache ist so: … || Irina hat Urlaub. || Sie kann uns also helfen. || Also wirklich, jetzt reicht es.",17
b1_0075,B1,alt,old,eskimiş,viejo,alt 1.,,word,,,Wie alt sind Sie? || Maria ist eine alte Freundin von mir.,17
b1_0076,B1,das Alter,the age,yaş,la edad,das Alter 1.,das,noun,,,Wir sind etwa im gleichen Alter. || Alter: 26 Jahre,17
b1_0077,B1,"das Altenheim, -e →","the old people's home, -e →","yaşlılar evi, -e →","la residencia de ancianos, -e →","das Altenheim, -e →",das,noun,-e →,,Die Großeltern unserer Nachbarn sind,17
b1_0078,B1,Altersheim,retirement home,huzur evi,casa de retiro,Altersheim,,noun,,,im Altenheim.,17
b1_0079,B1,"das Altersheim, -e →","the retirement home, -e →","huzurevi, -e →","la casa de retiro, -e →","das Altersheim, -e →",das,noun,-e →,,Die Großeltern unserer Nachbarn sind,17
b1_0080,B1,Altenheim,Nursing home,Huzurevi,Asilo de ancianos,Altenheim,,noun,,,im Altersheim.,17
b1_0081,B1,alternativ,alternatively,alternatif olarak,alternativamente,alternativ,,word,,,Wir brauchen alternative Energien.,17
b1_0082,B1,"die Alternative, -n","the alternative, -n","die Alternative, -n","la alternativa, -n","die Alternative, -n",die,noun,-n,,Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,17
b1_0083,B1,"die Ampel, -n","the traffic light, -n","trafik ışığı, -n","el semáforo, -n","die Ampel, -n",die,noun,-n,,Dort an der Ampel kannst du über die Straße gehen.,17
b1_0084,B1,"das Amt, ¨-er","the office, ¨-er","ofis, ¨-er","la oficina, ¨-er","das Amt, ¨-er",das,noun,¨-er,,Das Arbeitsamt befindet sich neben dem Busbahnhof.,17
b1_0085,B1,sich amüsieren,have fun,iyi eğlenceler,divertirse,"sich amüsieren, amüsiert",,verb,,amüsiert,Bei dem Fest haben wir uns sehr gut,17
b1_0086,B1,"sich, amüsierte sich,","himself, amused himself",kendisi eğlendi,"él mismo, se divirtió","sich, amüsierte sich,",,word,,hat sich amüsiert,amüsiert.,17
b1_0087,B1,an,to,ile,a,an 1.,,preposition,,,"Am Anfang war alles sehr schwierig. || Dann sehen wir uns also am Dienstag. || Ich warte am Bahnhof auf dich. || Am besten, du gehst zur Information und fragst da. || Das Licht war die ganze Nacht an.",17
b1_0088,B1,"analysieren, analysiert,","analyze, analyzed","analiz etmek, analiz etmek","analizar, analizado","analysieren, analysiert,",,word,,,Die Politiker analysieren die Situation,17
b1_0089,B1,"analysierte, hat analysiert","analyzed, has analyzed","analiz etti, analiz etti","analizado, ha analizado","analysierte, hat analysiert",,word,,,auf dem Arbeitsmarkt.,17
b1_0090,B1,"anbieten, bietet an,","offer, offers","teklif, teklifler","oferta, ofertas","anbieten, bietet an,",,word,,,Darf ich Ihnen etwas zu trinken,17
b1_0091,B1,bot an,offered,teklif edildi,ofrecido,"bot an, hat angeboten",,verb,,hat angeboten,anbieten?,17
b1_0092,B1,"der Anbieter, -","the provider, -","sağlayıcı, -","el proveedor, -","der Anbieter, -",der,noun,-,,Ist das ein privater Telefonanbieter?,18
b1_0093,B1,"das Angebot, -e1.","the offer, -e1.","teklif, -e1.","la oferta, -e1.","das Angebot, -e1.",das,noun,-e1.,,Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. || Der Käse ist heute im Angebot.,18
b1_0094,B1,ander-,at the-,en...,al-,ander- 1.,,word,,,Die anderen sind schon nach Hause gegangen. || Bitte nicht alle auf einmal! || Einer nach dem anderen. || Ich hätte gern ein anderes Auto. || Natascha hat unter anderem Chinesisch und Spanisch gelernt.,18
b1_0095,B1,andererseits,on the other hand,diğer taraftan,por otro lado,andererseits,,word,,,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",18
b1_0096,B1,"ändern, ändert, änderte,","change, changes, changed","değişiklik, değişiklikler, değişti","cambio, cambios, cambiado","ändern, ändert, änderte, 1.",,word,,hat geändert,Das Wetter hat sich geändert. || Ich habe meine Meinung inzwischen geändert.,18
b1_0097,B1,"die Änderung, -en","the change, -en","değişiklik, -tr",el cambio,"die Änderung, -en",die,noun,-en,,Es gibt eine Programmänderung.,18
b1_0098,B1,anders,different,farklı,diferente,anders 1.,,word,,,Anders geht das leider nicht. || Oliver ist anders als seine Freunde. || Ich würde das anders machen.,18
b1_0099,B1,"anerkennen, erkennt an,","acknowledge, acknowledge","kabul etmek, kabul etmek","reconocer, reconocer","anerkennen, erkennt an,",,word,,,Meine Ausbildung wird hier nicht,18
b1_0100,B1,"erkannte an,",acknowledged,kabul edildi,admitido,"erkannte an,",,word,,hat anerkannt,anerkannt.,18
b1_0101,B1,"anfangen, fängt an,","start, start","başla, başla","empezar, empezar","anfangen, fängt an, 1.",,word,,,Wann fängst du mit der Arbeit an?,18
b1_0102,B1,"fing an, hat angefangen","started, started","başladı, başladı","comenzó, comenzó","fing an, hat angefangen 2.",,word,,,Hier fängt die Bahnhofstraße an.,18
b1_0103,B1,"der Anfang, ¨-e1.","the beginning, ¨-e1.","başlangıç, ¨-e1.","el principio, ¨-e1.","der Anfang, ¨-e1.",der,noun,¨-e1.,,"Wie war der Film? || – Ich habe nur den Anfang gesehen. || Am Anfang habe ich bei der Arbeit viele Fragen gestellt. || Mein Chef ist Anfang fünfzig. || Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. || Wir machen Anfang Juli Ferien. || Meine Freundin wohnt am Anfang der Straße.",18
b1_0104,B1,anfangs,initially,ilk olarak,inicialmente,anfangs,,word,,,Anfangs ging alles gut.,18
b1_0105,B1,"angeben, gibt an, gab an,","indicate, indicates, stated","belirtmek, belirtmek, belirtmek","indicar, indica, afirmado","angeben, gibt an, gab an,",,word,,hat angegeben,Bitte geben Sie Ihre genaue Adresse || an.,18
b1_0106,B1,"die Angabe,-n","the information,-n","bilgi, -n","la información,-n","die Angabe,-n",die,noun,-n,,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.",18
b1_0107,B1,"der Angehörige, -n","the relative, -n","akraba, -n","el relativo, -n","der Angehörige, -n",der,noun,-n,,Der Arzt darf nur Familienangehörigen,18
b1_0108,B1,"die Angehörige, -n","the relatives, -n","akrabalar, -n","los familiares, -n","die Angehörige, -n",die,noun,-n,,Auskunft geben.,18
b1_0109,B1,angenehm,pleasant,güzel,agradable,angenehm,,word,,,Wir wünschen Ihnen eine angenehme Reise.,18
b1_0110,B1,"die Angst, “-e","die Angst, “-e","korku, “-e","el miedo, “-e","die Angst, “-e 1.",die,noun,“-e 1.,,"Du brauchst keine Angst zu haben. || Der Hund tut dir nichts. || Ich habe Angst, vielleicht ist etwas passiert.",18
b1_0111,B1,ängstlich,fearful,korkunç,temeroso,ängstlich,,adjective,,,Meine Mutter ist etwas ängstlich. || Sie geht nicht gern allein auf die Straße.,18
b1_0112,B1,"anhaben, hat an, hatte an,","have on, has on, had on","vardı, vardı, vardı","tener en, tiene en, tenía en","anhaben, hat an, hatte an,",,word,,hat angehabt,Gestern hatte Julia ein rotes Kleid an.,18
b1_0113,B1,"anklicken, klickt an,","click, click","tıklayın, tıklayın","haga clic, haga clic","anklicken, klickt an,",,word,,,Du musst das Bild anklicken. || Dann,18
b1_0114,B1,"klickte an, hat angeklickt","clicked, clicked","tıkladım, tıkladım","hizo clic, hizo clic","klickte an, hat angeklickt",,word,,,wird es größer.,18
b1_0115,B1,"ankommen, kommt an,","arrive, arrive","varmak, varmak","llegar, llegar","ankommen, kommt an, 1.",,word,,,Wann kommt der Zug in Hamburg an?,18
b1_0116,B1,"kam an, ist angekommen","arrived, has arrived","geldi, geldi","llegó, ha llegado","kam an, ist angekommen 2.",,word,,,"Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.",18
b1_0117,B1,die Ankunft,the arrival,varış,La llegada,die Ankunft 1.,die,noun,,,"Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. || Gleich nach der Ankunft habe ich meine Eltern angerufen.",18
b1_0118,B1,"ankündigen, kündigt an,","announce, announces","duyuruyor, duyuruyor","anunciar, anuncia","ankündigen, kündigt an,",,word,,,Wir sollten unseren Besuch,18
b1_0119,B1,"kündigte an,",announced,duyuruldu,anunciado,"kündigte an,",,word,,hat angekündigt,ankündigen.,18
b1_0120,B1,"die Anlage, -n","the facility, -n","tesis, -n","la instalación, -n","die Anlage, -n 1.",die,noun,-n 1.,,Meine Musikanlage ist kaputt. || In der Anlage der E-Mail finden Sie meinen Lebenslauf.,18
b1_0121,B1,"die Anleitung, -en","the instructions, -en","talimatlar, -tr","las instrucciones, -es","die Anleitung, -en",die,noun,-en,,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",18
b1_0122,B1,"anmelden, meldet an,","anmelden, meldet an,","giriş yap, giriş yap","iniciar sesión, iniciar sesión","anmelden, meldet an,",,word,,,Für diesen Kurs müssen Sie sich,18
b1_0123,B1,"meldete an,",reported,rapor edildi,reportado,"meldete an,",,word,,hat angemeldet,unbedingt vorher anmelden.,18
b1_0124,B1,"die Anmeldung, -en1.","the registration, -en1.","kayıt, -en1.","el registro, -en1.","die Anmeldung, -en1.",die,noun,-en1.,,"Wo bekomme ich die Formulare für die Anmeldung? || Die Anmeldung ist im Erdgeschoss, Zimmer 55.",18
b1_0125,B1,"annehmen, nimmt an,","accept, accepts","kabul et, kabul eder","aceptar, acepta","annehmen, nimmt an, 1.",,word,,,Ich nehme Ihre Einladung gern an.,18
b1_0126,B1,"nahm an,",accepted,kabul edildi,aceptado,"nahm an, 2.",,word,,hat angenommen,"Ich nehme an, dass Sie mit dem || Vorschlag einverstanden sind.",18
b1_0127,B1,"die Annonce, -n","the advertisement, -n","reklam, -n","el anuncio, -n","die Annonce, -n",die,noun,-n,,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.",18
b1_0128,B1,"die Anrede, -n","the salutation, -n","selamlama, -n","el saludo, -n","die Anrede, -n",die,noun,-n,,Du darfst im Brief die Anrede nicht vergessen.,18
b1_0129,B1,"anrufen, ruft an, rief an,","call, call, called","çağrı, çağrı, çağrıldı","llamar, llamar, llamar","anrufen, ruft an, rief an,",,word,,hat angerufen,Ich rufe Sie heute Abend an.,18
b1_0130,B1,"der Anruf, -e","the call, -e","çağrı, -e","la llamada, -e","der Anruf, -e",der,noun,-e,,Ich warte auf einen Anruf aus Berlin.,18
b1_0131,B1,"der Anrufbeantworter, -","the answering machine, -","telesekreter, -","el contestador automático, -","der Anrufbeantworter, -",der,noun,-,,Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,18
b1_0132,B1,"die Ansage, -n","the announcement, -n","duyuru, -n","el anuncio, -n","die Ansage, -n",die,noun,-n,,Achten Sie auf die Ansage am Bahnsteig.,18
b1_0133,B1,"anschaffen, schafft an,","acquire, acquire","edinmek, edinmek","adquirir, adquirir","anschaffen, schafft an,",,word,,,Wir haben uns neue Möbel,19
b1_0134,B1,"schaffte an,",managed,"schaffte an,",administrado,"schaffte an,",,word,,hat angeschafft,angeschafft.,19
b1_0135,B1,"anschließen, schließt an,","connect, connect","bağlanmak, bağlanmak","conectar, conectar","anschließen, schließt an,",,word,,,Wo kann ich den Computer,19
b1_0136,B1,"schloss an,",connected,"schloss an,",conectado,"schloss an,",,word,,hat angeschlossen,anschließen?,19
b1_0137,B1,"der Anschluss, ¨-e","the connection, ¨-e","bağlantı, ¨-e","la conexión, ¨-e","der Anschluss, ¨-e 1.",der,noun,¨-e 1.,,In Mannheim haben Sie Anschluss nach Saarbrücken. || Ich brauche in meiner Wohnung einen Telefonanschluss.,19
b1_0138,B1,"anschnallen, schnallt an,","buckle up, buckle up","tokalamak, tokalamak","abróchate el cinturón, abróchate el cinturón","anschnallen, schnallt an,",,word,,,"Vergiss nicht, dich anzuschnallen.",19
b1_0139,B1,"schnallte an,",buckled up,kemerli,abrochado,"schnallte an,",,word,,hat angeschnallt,,19
b1_0140,B1,"ansehen, sieht an, sah an,","look at, looks at, looked at","bak, baktı, baktı","mira, mira, mira","ansehen, sieht an, sah an, 1.",,word,,hat angesehen,Warum siehst du mich so erschrocken || an? || Darf ich eure Urlaubsfotos ansehen?,19
b1_0141,B1,"ansprechen, spricht an,","ansprechen, spricht an,","konuşmak, konuşmak","hablar con, hablar con","ansprechen, spricht an,",,word,,,Gestern hat mich unsere neue,19
b1_0142,B1,"sprach an,",spoke up,konuştu,habló,"sprach an,",,word,,hat angesprochen,Nachbarin im Treppenhaus || angesprochen.,19
b1_0143,B1,"der Anspruch, ¨-e","the claim, ¨-e","iddia, ¨-e","el reclamo, ¨-e","der Anspruch, ¨-e",der,noun,¨-e,,Sie wohnen im Stadtzentrum. || Deshalb haben Sie keinen Anspruch auf Fahrgeld.,19
b1_0144,B1,"anstellen, stellt an,","hire, hire","kiralamak, kiralamak","contratar, contratar","anstellen, stellt an, 1.",,word,,,Können Sie bitte die Heizung,19
b1_0145,B1,"stellte an, hat angestellt","hired, hired","işe alındı, işe alındı","contratado, contratado","stellte an, hat angestellt",,word,,,anstellen? || Mein Schwager ist bei einer Möbelfirma angestellt. || Da vorne ist die Kasse. || Du musst dich anstellen.,19
b1_0146,B1,"der Angestellte, -n","the employee, -n","çalışan, -n","el empleado, -n","der Angestellte, -n",der,noun,-n,,Björn ist Angestellter in einem,19
b1_0147,B1,"die Angestellte, -n","the employee, -n","çalışan, -n","el empleado, -n","die Angestellte, -n",die,noun,-n,,Reisebüro.,19
b1_0148,B1,sich anstrengen,make an effort,çaba göstermek,haz un esfuerzo,"sich anstrengen, strengt 1.",,verb,,strengt 1.,Diese Arbeit strengt mich sehr an.,19
b1_0149,B1,sich an,yourself,kendin,tú mismo,"sich an, strengte sich an, 2.",,verb,,"strengte sich an, 2., hat sich angestrengt","Wenn du die Prüfung schaffen willst, || musst du dich mehr anstrengen.",19
b1_0150,B1,anstrengend,stressful,stresli,lleno de tensión,anstrengend,,word,,,Ich finde diese Arbeit sehr anstrengend.,19
b1_0151,B1,"der Antrag, ¨-e","the application, ¨-e","uygulama, ¨-e","la aplicación, ¨-e","der Antrag, ¨-e",der,noun,¨-e,,Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,19
